listing_url,listing_no,title,location,prop_type,list_date,price_ksh,price_flag,log_price_ksh,size_acres,size_source,log_size_acres,latitude,longitude,geocode_source,geocode_confidence,county,dist_to_nairobi_km,dist_to_county_town_km,reference_city,reference_city_dist_km,amenities_score,accessibility_score,price_per_acre,log_price_per_acre
https://www.property24.co.ke/vacant-land-plot-for-sale-in-nyari-117094523,117094523,Vacant Land / Plot for Sale in Nyari,"Red Hill, Nyari, Nairobi",,6-Apr-26,,dropped,,,missing,,-1.2290223,36.7848955,street_address,0.8,Nairobi,8.13,8.13,Nairobi,8.13,77.28,60.01,,
https://www.property24.co.ke/vacant-land-plot-for-sale-in-westlands-116840423,116840423,Vacant Land / Plot for Sale in Westlands,"Westlands, Westlands, Nairobi",,23-Jan-26,130000000.0,clean,18.683045008419857,3.2,nlp_description,1.1631508098056809,-1.2647561,36.8018415,street_address,0.8,Nairobi,3.77,3.77,Nairobi,3.77,93.4,88.99,40625000.0,17.519894198614175
https://www.property24.co.ke/vacant-land-plot-for-sale-in-karen-117029721,117029721,Vacant Land / Plot for Sale in Karen,"Nairobi, Karen",,16-Mar-26,10000000.0,clean,16.11809565095832,100.0,nlp_description,4.605170185988092,-1.4303485,36.6867562,nlp_landmark,0.5,Kajiado,21.49,47.8,Nairobi,21.49,76.94,55.31,100000.0,11.512925464970229
https://www.property24.co.ke/vacant-land-plot-for-sale-in-uthiru-116936138,116936138,Vacant Land / Plot for Sale in Uthiru,"Nairobi Kiambu County, Uthiru, Nairobi",,18-Feb-26,45000000.0,clean,17.622173047734595,,missing,,-1.2629682,36.7186137,street_address,0.8,Nairobi,11.93,11.93,Nairobi,11.93,88.0,60.83,,
https://www.property24.co.ke/vacant-land-plot-for-sale-in-kinoo-117028912,117028912,Vacant Land / Plot for Sale in Kinoo,"Kinoo, Kinoo",,16-Mar-26,17000000.0,clean,16.64872390202049,0.25,nlp_description,-1.3862943611198906,-1.3026148,36.828842,nlp_landmark,0.5,Nairobi,1.4,1.4,Nairobi,1.4,79.94,87.91,68000000.0,18.03501826314038
https://www.property24.co.ke/vacant-land-plot-for-sale-in-kisumu-cbd-116968907,116968907,Vacant Land / Plot for Sale in Kisumu CBD,"Omolo Agar Road, Kisumu CBD, Kisumu",,26-Feb-26,120000000.0,clean,18.60300230074632,0.36,nlp_description,-1.0216512475319814,-1.3026148,36.828842,nlp_landmark,0.5,Nairobi,1.4,1.4,Nairobi,1.4,82.42,87.91,333333333.33,19.624653548268302
https://www.property24.co.ke/vacant-land-plot-for-sale-in-lavington-116776176,116776176,Vacant Land / Plot for Sale in Lavington,"Lavington Kileleshwa, Lavington, Nairobi",,7-Jan-26,300000000.0,clean,19.519293032620475,1.2,nlp_description,0.1823215567939546,-1.2869594,36.7685189,street_address,0.8,Nairobi,5.96,5.96,Nairobi,5.96,81.94,59.84,250000000.0,19.33697147582652
https://www.property24.co.ke/vacant-land-plot-for-sale-in-kinoo-117028676,117028676,Vacant Land / Plot for Sale in Kinoo,,,,,missing,,,missing,,,,failed,0.0,Kiambu,,,,,0.0,,,
https://www.property24.co.ke/vacant-land-plot-for-sale-in-kyuna-116968278,116968278,Vacant Land / Plot for Sale in Kyuna,"Nairobi, Kyuna",,26-Feb-26,110000000.0,clean,18.51599092375669,0.75,nlp_description,-0.2876820724517809,-1.2512727,36.7801124,nlp_landmark,0.5,Nairobi,6.5,6.5,Nairobi,6.5,80.63,61.19,146666666.67,18.8036729962312
https://www.property24.co.ke/vacant-land-plot-for-sale-in-kitengela-116968378,116968378,Vacant Land / Plot for Sale in Kitengela,"Kajiado, Kitengela",,26-Feb-26,5500000.0,clean,15.520258650202699,0.229568,nlp_description,-1.4715559970723198,-1.3026148,36.828842,nlp_landmark,0.5,Nairobi,1.4,1.4,Nairobi,1.4,79.94,87.91,23958042.93,16.991814647157607
https://www.property24.co.ke/vacant-land-plot-for-sale-in-parklands-116891167,116891167,Vacant Land / Plot for Sale in Parklands,"Sixth Parklands Ave Nairobi, Parklands, Nairobi",,5-Feb-26,50000000.0,clean,17.72753356339242,0.1,nlp_description,-2.3025850929940455,-1.2630616,36.8106288,nlp_landmark,0.5,Nairobi,3.46,3.46,Nairobi,3.46,85.72,73.22,500000000.0,20.030118656386467
https://www.property24.co.ke/vacant-land-plot-for-sale-in-katani-117029923,117029923,Vacant Land / Plot for Sale in Katani,"Katani, Katani, Nairobi",,16-Mar-26,120000000.0,clean,18.60300230074632,10.0,nlp_description,2.302585092994046,-1.3399426,36.9859348,street_address,0.8,Machakos,19.0,36.63,Nairobi,19.0,44.89,25.75,12000000.0,16.300417207752275
https://www.property24.co.ke/vacant-land-plot-for-sale-in-kitisuru-117041237,117041237,Vacant Land / Plot for Sale in Kitisuru,"Nairobi, Kitisuru",,18-Mar-26,450000000.0,clean,19.92475814072864,4.5,nlp_description,1.5040773967762742,-1.2403787,36.77103,nlp_landmark,0.5,Nairobi,8.07,8.07,Nairobi,8.07,55.66,56.18,100000000.0,18.420680743952367
https://www.property24.co.ke/vacant-land-plot-for-sale-in-runda-116908746,116908746,Vacant Land / Plot for Sale in Runda,"Qrqg+873 Runda Rd, Runda, Nairobi",,10-Feb-26,25000000.0,clean,17.034386382832476,0.5,nlp_description,-0.6931471805599453,-1.2182119,36.8089887,nlp_landmark,0.5,Nairobi,8.34,8.34,Nairobi,8.34,59.95,59.51,50000000.0,17.72753356339242
https://www.property24.co.ke/vacant-land-plot-for-sale-in-isinya-116828035,116828035,Vacant Land / Plot for Sale in Isinya,"Isinya Kajiado County, Isinya, Isinya",,21-Jan-26,104400000.0,clean,18.463740233412814,58.0,nlp_description,4.060443010546419,-1.6492353,36.873423,street_address,0.8,Kajiado,40.12,40.12,Kajiado,24.62,25.16,47.14,1800000.0,14.403297222866392
https://www.property24.co.ke/vacant-land-plot-for-sale-in-lower-kabete-116963791,116963791,Vacant Land / Plot for Sale in Lower Kabete,"Nairobi, Lower Kabete",,25-Feb-26,500000000.0,clean,20.030118656386467,5.0,nlp_description,1.6094379124341003,-1.2403033,36.7523519,nlp_landmark,0.5,Nairobi,9.64,9.64,Nairobi,9.64,59.04,56.04,100000000.0,18.420680743952367
https://www.property24.co.ke/vacant-land-plot-for-sale-in-westlands-116802198,116802198,Vacant Land / Plot for Sale in Westlands,"Rhapta Rd, Westlands, Nairobi",,14-Jan-26,,negotiable,,0.5,nlp_description,-0.6931471805599453,-1.2662759,36.80015,street_address,0.8,Nairobi,3.75,3.75,Nairobi,3.75,88.68,83.16,,
https://www.property24.co.ke/vacant-land-plot-for-sale-in-ngong-116700846,116700846,,,,,,missing,,,missing,,,,failed,0.0,,,,,,0.0,,,
https://www.property24.co.ke/vacant-land-plot-for-sale-in-lower-kabete-116963805,116963805,Vacant Land / Plot for Sale in Lower Kabete,"Nairobi, Lower Kabete",,25-Feb-26,340000000.0,clean,19.644456175574483,2.7,nlp_description,0.9932517730102834,-1.2405004,36.7501687,location_town,0.3,Nairobi,9.82,9.82,Nairobi,9.82,69.0,57.11,125925925.93,18.65120440259655
https://www.property24.co.ke/vacant-land-plot-for-sale-in-westlands-117042498,117042498,,,,,,missing,,,missing,,,,failed,0.0,,,,,,0.0,,,
